Gorilla_ID,Purpose,Concealment,awareness_check_R1,awareness_check_R2
16233478,see if people can complete the math problems if they're sad,how emotions change results in math,,
16233480,To understand the face expressions of human when see an image or photos of anything.,N/A,,
16233482,state of mind vs mathematical computation,emotions have a large influence on our ability to function well,,
16233486,Not sure,I have no idea.,,
16233489,NA,NA,,
16233491,math and physical exercise correlation,how would I know? what a stupid question,,
16233492,I think the purpose of this study was seeing how our emotions react to certain images.,I'm not sure,,
16233494,Possibly AI training,"That my motions, which involved placing my hand around my head, is to train AI, which is notoriously bad at hands in front of faces",,
16233498,To see if people feel emotional in different capacities performing tasks.,This is a psychological study?,,
16233501,"I'm not sure. Possibly how long it takes us after asking questions of hopelessness and the quality of our lives, how long it takes to pull ourselves out of that?",Possibly that the questions you asked us about our lives and feelings have a much deeper purpose than previously described.,,
16233502,The images/actions impact on our wellbeing,What the role of the math problems is,,
16233503,To see what people felt when looking at animals.,Figuring out how different people react emotionally to cats and dogs.,,
16233504,to see if you could follow the directions and then still concentrate after to do the math.,I don't know.,,
16233505,To see if showing forced happy faces made us feel more positive about ourselves vs if we're just sitting here or doing a random face task,"That it was measuring happiness/self worth, and had nothing to do with the math, those were just fillers",,
16233506,trying to tie physical activity to math performance when also including the emotional element.,not sure,,
16233507,NA,NA,,
16233508,To see how forcing our expressions or thoughts in a positive or negative way has an effect on emotional wellbeing.,The fact that it is not about math performance and instead about psychological and emotional evaluation.,,
16233509,based on my facial expressions it shows how i feel at the moment and maybe in life.,based on facial expression you can tell how a person feels,,
16233513,I honestly don't know.,Something to do with how faking emotions makes us feel?,,
16233514,"To see if we could multitask and stay on the task of doing math. Not sure, tbh",Something about multitasking and staying on task and in tune,,
16233515,"peoples emtional state after seeing stressful things and if they feel better naturally expressing emotion or pretending to be happy, and how it changes their outlook on the world, themselves and their life.","that math had little to do with it, maybe math is a slight stressor for some people but i think people enjoy doing simple routines that make them feel accomplished like tapping their nose, i think the study is really about how images can shape our mood and outlook",,
16233516,what sites help people to feel more positive about themselves,i am not sure,,
16233517,Impact of actions and images on ability to focus.,That we were not really being recorded.,,
16233518,See the effects of using certain brain functions in combination with emotion?,To see the effects of how emotions change. I noticed that I became more relaxed after the study progressed!,,
16233519,To test how much our emotional responses changed based on the physical activity,It was about something completely unrelated to what we may think,,
16233520,To track facial movements in response to negative images,I dont have a clue honestly,,
16233522,To see psychological behaviors of facial expressions when seeing certain images.,"The reason for the math questions, and also why the same questions were asked about how I felt.",,
16233524,I believe the purpose of this study is to examine facial reactions.,I am not sure.... maybe that this had to do with AI facial recognition?,,
16233525,"I'm not sure, but the animal abuse photos were traumatic",not sure,,
16233527,I really have no idea.,"Again, I have no idea.",,
16233529,It was to see if images/mood improved how fast i can do math equations,Not quite sure perhaps maybe what the actual purpose of the study is used for perhaps a system to track moods,,
16233534,How to follow directions and perform basic math skills.,How images effect your thinking and rationalaztion.,,
16233535,To track eye movements.,Some of the pictures were real.,,
16233536,Maybe to see if people could follow instructions or how fast they were at math after doing another task,I honestly am not sure. I am curious to know though,,
16233537,I am not sure. To see if im a psychopath? I wasn't sure what facial expressions were shown.,Who knows. Im not a psychologist and have no schooling or experience in research,,
16233540,No clue,No clue,,
16233542,to test focus,it has nothing to do with how distractions can affect math skills,,
16233543,I am not sure. Following instructions?,i have no idea,,
16233544,burn grant money,"whatever it is, i dont care",,
16233552,I believe the purpose of this study was to observe how we feel after viewing those images and how it impacts out mental and physical state,I feel that you wanted to observe out mental state and if the different exercise makes us feel better or worse through each task. Those images were awful and very hard to keep smiling when viewing so I feel that observation would tell alot,,
16233553,no idea,i try not to judge,,
16233554,To tests how physical activities affect math computation,Impact on my feelings about life after different tasks,,
16233555,I really don't know. Maybe to see what pictures emote different feelings and emotons after seeing them?,I have no clue.,,
16233558,determine effects of simple tasks on feelings,the tasks were chosen based on previous performance,,
16233561,I think it was to determine how certain imagery impacted a persons mood,perhaps you were tracking my facial expressions duirng the comprehension portion - like how I reacted to reading the instructions vs actually performing the task.,,
16233562,n/a,NA,,
16233563,to see if peoples mood changes after doing certain things,i'm really not sure,,
16233566,perhaps if viewing unsettling images would change my current state of feeling.,most people view their life as not ideal but then being exposed to sad or negative photos may make them appreciate their own life a bit more,,
16233569,To see if the physical tasks were distractions for the math questions.,I think that maybe there was some hidden messages in the instructions for physical tasks that may get missed and the purpose of this study was to make sure they were read carefully.,,
16233571,Mood vs math?,"I'm not sure, but I feel like it was mood related, not physical movement/math.",,
16233572,to see how viewing different images could control how you feel,the reason for the study or proposed hypothesis,,
16233574,I am genuinely not sure,it will probably be a debriefing about the study,,
16233577,facial expression when seeing bad or evil stuff,not sure maybe something to do with the physical tasks,,
16233578,See if the movements and feelings have any effects on simple math computation,Length of time in solving the problems,,
16233579,Test how movement and viewing difficult images affects cognition.,Relation to movements and the images shown.,,
16233581,Seeing if the participant follows directions.,Not sure.,,
16233582,Sorry I meant to input this in the first box - my wife was calling me to help her with the baby. She did not know I was in a prolific survey that required camera and microphone access. I do sincerely apologize.,"No idea, there might be some kind of psychology between showing distressing photos and ones outlook on life.",,
16233585,Movements while using critical thinking or intellectual exercises plus physical movement.,"Secretive study details, possibly facial recognition and nothing else dealing with math.",,
16233586,Testing how people react to different tasks and how it affects their mood,Maybe seeing how we react to certain tasks/instructions,,
16233587,to see if emotions hurt your reasoning skills,i d k,,
16233588,I really don't know,to see if I followed instructions,,
16233589,To study how certain instances before seeing a math problem can affect performance and feelings regarding math,I have no clue.  Is it about math anxiety?,,
16233595,I am unsure what the purpose is,NA,,
16233618,Not sure,Why you're doign it,,
16233626,Study how images make people feel.,What the research is used for!,,
16233634,To gauge the ability to complete simple math problems after being shown a picture or after doing an unrelated activity.,People that see positive images and do less strenuous tasks perform better than people who see negative images and more strenuous tasks.,,
16233636,See how people deal with annoyances? or aggrevation and how it effects performance.,Im not sure,,
16233642,No idea,I don't know.,,
16233646,not about math...perceptionofmylife maybe after easy/confusing tasks...kind of like life easy or confusing,not math...haha,,
16233666,unsure,unsure,,
16234036,How good participants can multi-task.,What this study is actually going to be studied for.,,
16234038,I have no clue.,I have no idea.,,
16246310,To see if physical activity impacts ability to solve math problems,Not sure!,,
16246311,I am not sure but the puppies and kitties made me smile.,I am not sure.,,
16246312,I actually have no clue,Not sure. Maybe this study is trying to understand the connection between certain bidy movements and cognition,,
16246319,mood change/facial expression change after watching cute photos ....,"AI training?
",,
16246320,Smiling at images vs not smiling and feelings of depression and life satisfaction.,That it's not about math at all.,,
16246322,"Honestly, no idea. Some sort of calibration of facial cues during tasks/surveys.",It's not about math?,,
16246324,"I won't lie I have no idea. Usually I at least have a guess, but with this one I'm not sure",Maybe that audio was recorded in between physical activities? That's my only guess,,
16246326,multitasking as described and its effects on math problem solving - or th effects of images on mood,movemnets and images effect on mood.,,
16246328,to see if my expressions would change seeing bad things,desensitization,,
16246330,test people's reactions/emotions,unsure,,
16246332,The purpose of the study was to evaluate individal perceptions and emotions after viewing images while completing multiple tasks.  I would say are there changes in feelings and emotions after viewing positive images.,"Details of the study that had not been disclosed might be how reactions to the images overalll might change how you view your mood after seeing the images.  Unfortunately, I believe that PTSD has set in becaue of the current socioeconomic climate we are experiencing as a collective on a macro scale.  I personnally have recently experienced direct consequenses of having a dictator and pedophile as a president.",,
16246333,I thought it was perhaps AI training then again I assumed it was wonder how we pay attention when we are given other tasks to do and do images effect how we feel about ourselves.,"I'm not quite sure, maybe how we see ourselves or selfesteem.",,
16246334,to see if people follow directions,it is a general study,,
16246336,To see the impact of multitasking,Not sure,,
16246337,Perhaps to see how our emotions may change viewing different pictures while stimulating our minds.,To be honest I'm not sure.  Maybe to judge how we feel emotionally.,,
16246339,To see how your body movement correlate to math problems.,I am not sure.,,
16246340,To see if emotions naturally changed as a reaction to violent images and if it caused a delay in answering math problems.,"Maybe that I'm supposed to feel worse after everything I saw and should have at least a little delay in answering problems. However, since I didn't do any math at the very beginning, I'm not sure how to show how quickly I would normally do a math problem.",,
16246344,Unkown,Unknown,,
16246345,"To discover the connection betweem body movement, visual cues and mood","What you do can influence how you feel more than what you see. You're trying to determine if that's true, and if so, which movements or thoughts have the strongest effect",,
16246347,To know how people react to maths,NA,,
16246348,?,?,,
16246349,not sure,unsure,,
16246351,i have no idea to be honest.,testing basic skills,,
16246352,not sure,not sure,,
16246353,"Absolutely no idea what this study is testing, but there's no way it has anything to do with having to add or substract numbers correctly.",Still curious to find out since I have no idea. I really do not have any idea.,,
16246354,I am not sure.,Brain stimulation I am not sure.,,
16246355,"can people follow the instructions even when they see something is wrong,",may be about hand eye coordination and its not definitely about math,,
16246357,To see if your mood or percetions on life after viewing sad/disturbing things.,I'm not sure,,
16246359,I have no clue.,I do not have any idea.,,
16246360,Do see how physical or mental stress can affect someones ability to do math,if I have to guess it would be to see how a person handles irritation from inconveinance,,
16246362,No idea.,No idea.,,
16246363,to see how people actually follow a succession of assorted random directions,that it had nothing to do with math and everything to do with phychology,,
16246364,how pictures trauma affects memory recall,na,,
16246365,"To see if I follow instructions?  Or, maybe, how does my brain react to seeing images that evoke emotion(s) and does that affect how my brain processes doing math which  uses the same/different parts of the brain?",Emotion and how it affects brain function,,
16246366,I have no clue,I cant figure out what you were looking for. It would be interesting to know.,,
16246367,not sure,not sure,,
16246368,Psychological evaluation,Perhaps but I am not exactly sure what those details could be,,
16246370,I am really not sure.,I have no idea.,,
16246371,test my cognitative skills and emotional responses.,You are tracking my motivations.,,
16246372,That is the $1000 question.,I honestly dont' know but can't wait to find out.,,
16246373,Something related to the effect of images on emotion? I'm not sure if this study is truly related to math.,Something related emotion as it relates to images of different scenarios/have different emotional connotations.,,
16246375,AI face monitoring,AI facde monitoring,,
16246376,to see if images affect how the logical brain works,how images can affect mood and well being,,
16246378,The effect of certain tasks on emotions,That our facial expressions show the impact,,
16246379,I'm not sure.,I'm not really sure.,,
16246380,I think the purpose of this study is to see how doing physical activities affect how you view yourself.,I don't think the study is related to math at all.,,
16246381,no idea,the real purpose of the study,,
16246382,Whether exerting anything physical or mental affects math comprehension,Not sure,,
16246384,math and facial recognition,i honestly have no idea,,
16246385,How certain stimuli effect one's mood or emotions.,I am not sure.,,
16246386,Does imitating a facial expression of joy produce a perception of more happiness...?,That the math didn't matter and you're actually curious about perceptions of happiness or sadness.,,
16246387,Is it about math being a reliable place to go to when you're busy?  I can always do math (or at least I think I can) regardless of what is going on around me.  Supermarket skills.,Multitasking and how we feel about ourselves after we view certain images?,,
16246388,i dont know,maybe a bonus,,
16246390,To see if the repetive nature or images would adjust how we view life,unsure,,
16246392,im not sure honestly,im not sure,,
16246394,to see how accurately one can perform a task or multitask correctly while doin or completing math or another activity.,unsure,,
16246396,trauma,I don't know---probably has to do with AI or the environment,,
16246397,Physical and emotional connectivity,Doing math was not the point of the study,,
16246399,"Possibly something to do with the speed or accuracy regarding the +/- questions. Or maybe it is the consistency between my answers in the repeated series of questions.. I am not completely sure, just my best guess.","How on earth am I supposed to know the answer to that? My thoughts are drawing a great big blank space!
",,
16246404,I think it was about following directions.,The purpose of the study hasn't been revealed.,,
16246405,I am completely unsure,What the real purpose of the study is?,,
16246406,"I believe that this study was not about how physical motion might affect math capabilities, due to how easy those questions were, but rather how smiling no matter what images show up(even if I had very pleasant images) affect my mood and outlook into life. I tried to stay as unbiased as I could be and answer my questions to the best of my capabilities.",That it is more about how smiling or being positive affects your outlook into the rest of your life?,,
16246415,To see how quickly and accurate people can do math while also focusing on tasks.,"My best guess is the purpose of this study being something else, but I have no idea what.",,
16246417,to gage human response and ability to adapt very quickly. maybe something to do with AI generation as well and building an AI model?,is it that the user is building an AI model that will be able to do human tasks and look real?,,
16246419,To get your thoughts or impressions after viewing the pictures,I don't know what they could be?,,
16246422,Do tasks and images correlate to self image and mood?,I don't know,,
16246431,no clue,no clue,,
16246433,NA,What is really being studied.,,
16246435,To track movement,For AI use,,
16246437,"I think it was if seeing disturbing images can upset us enough where we are unable to perform simple tasks (math, following instructions).  Also, if after viewing disturbing images asking us the same questions about our perceptions of our own life and how we are feeling.","I am not sure.  Animal cruelty, robbery, property damage.  How can our life be ideal and how can we feel good about ourselves if these things exist in our world ?
For myself, seeing an animal in pain is very disturbing.",,
16246441,I think to see if looking at pictures of benign things like dogs and cats had any effect on mood. Also comparing the photos with the facial movement too to see if looking at this pictures and also smiling affected your self reported moods. I am not quite sure what the point of the math questions were though. Maybe to sort of put your brain on no think mode.,I think those details would be why there were math questions as part of this study.,,
16246442,Do emotions change with visual stimulation.,No idea,,
16246443,no idea,no clue,,
16246449,Probably to test if images of animals have an impact over (at least momentary) mental health.,I have no idea.,,
16246451,"
","Maybe AI invovlement? I am sorry I missed some of the movements. I misinterpreted the instructions. I hope my videos were good enough. I tried hard on the last ones, thanks",,
16246452,maybe to find out how silly tasks make you feel,i am not really sure,,
16246458,idk,data,,
16246461,If people can multi-task and how they feel about themselves while they are multi-tasking.,I am not sure what the missing details could be.,,
16246463,Maybe correlation between action and self-esteem,Not sure,,
16246485,I think this was an test to see how happy people are with their lives,I have NO clue.,,
16246487,"The instructions said ""The goal of this research study is to explore the effect of physical movement tasks on people’s math performance."" However, I do not believe this is the case. The math and physical exercises are too simple to really measure any cognitive stress. I think it has to do with the violent images shown and the facial expression. I think the study is framed as a benign scenario just to relax the subjects and see their real emotional response to stressful images. It has nothing to do with math.","As stated in my last response, I think the study attempts to distract and relax the subjects to measure their raw responses to stressful images.",,
16246488,"I think that the purpose of this study was determining if certain factors will change a person's mood and their math skills (showing them certain pictures, requesting certain expressions, etc.)","To be honest, I have no idea what these details may be.",,
16246491,not sure,That there was no point,,
16246493,To see what people look like when doing certain tasks.,I'm very unsure.,,
16246499,NA,NA,,
16246522,I think the purpose of this study was to practice skills.,I think the details might be how these tasks can improve your mental.,,
16246536,to see how peoples emotions and feelings on life changed based on the stimuli from the physical tasks,that the math didnt matter,,
16246546,I am not sure what the purpose was as I was confused at why it was asking me to perform these activities and especially when it showed a car or a dog as I performed the dog faces and what the man was doing in the pick to the best I could. It would be interesting to know why this was asked and what reason it determines in the study ? Interesting !,I am not sure as I am curious to know why we would be videoed doing stuff as directed in the picture ! I am curious to find out and how that helps and what it determines in your study !,,
16246549,To see if moving can impact math skills.,Maybe something that has to do with emotions?,,
16246550,How pictures affect how people feel and if it allows them to concentrate on tasks.,It was to see if I could follow directions clearly.,,
16246563,how different stimuli affects our mood,what stimuli different people saw/did,,
16246570,To see if my math skills were determined by the pictures shown.,how your mood determines your thinking skills,,
16246581,no earthly idea,maybe wanting to see if someone is able to maintain a neutral expression while looking at cute puppies and kittens,,
16246590,"Not really sure, maybe the affect physical tasks have on our thinking or something to do with processing and multi tasking.",The was more focus on mannerisms,,
16246592,Maybe to see how different images impact our mood,Why those specific images were selected,,
16246604,to see how physical activities can change responses,using your brain in different ways can affect how you respond emotionally,,
16246721,I am not exactly sure.,Maybe there was more to do that you were asking.,,
16246930,Something about being exposed to violence and how it may affect our moods and cognitive functioning. But...who knows?,"No clue, but would love to hear about it!",,
16247016,To see how I feel after seeing a set of images,To see if I'd be manipulated?,,
